ID,Number of Balls Faced,Batting Runs,Dismissals,Batting Strike Rate,Average,Number of Balls Bowled,Runs off Bowling,Wickets,Bowling Strike Rate,Economy,Batting Index
137b58de,3.0,1.0,0.0,33.33,1.0,108.0,128.0,4.0,32.0,7.11,0.6666
1efd12d1,38.0,22.0,2.0,57.89,11.0,1056.0,1425.0,60.0,23.75,8.1,12.7358
d3016d75,8.0,5.0,1.0,62.5,5.0,85.0,112.0,6.0,18.67,7.91,6.25
d376bbaa,190.0,224.0,10.0,117.89,22.4,0.0,0.0,0.0,0.0,0.0,52.814719999999994
f9f857dc,175.0,179.0,9.0,102.29,19.89,0.0,0.0,0.0,0.0,0.0,40.690962000000006
c56819b2,36.0,40.0,3.0,111.11,13.33,0.0,0.0,0.0,0.0,0.0,29.621926
0e5ccbb4,45.0,36.0,1.0,80.0,36.0,0.0,0.0,0.0,0.0,0.0,57.6
bdf7a718,20.0,23.0,1.0,115.0,23.0,58.0,91.0,4.0,22.75,9.41,52.9
509a7ca1,1175.0,1476.0,59.0,125.62,25.02,177.0,215.0,6.0,35.83,7.29,62.860248
04a5b56e,323.0,351.0,14.0,108.67,25.07,0.0,0.0,0.0,0.0,0.0,54.487138
caa89a48,0.0,0.0,0.0,0.0,0.0,25.0,34.0,1.0,34.0,8.16,0.0
795df06c,86.0,82.0,6.0,95.35,13.67,91.0,93.0,7.0,13.29,6.13,26.068689999999997
a3b9191a,149.0,134.0,7.0,89.93,19.14,43.0,43.0,3.0,14.33,6.0,34.425204
625e4e56,0.0,0.0,0.0,0.0,0.0,33.0,48.0,0.0,48.0,8.73,0.0
c654af19,728.0,841.0,35.0,115.52,24.03,1671.0,2150.0,74.0,29.05,7.72,55.518912
34464143,659.0,707.0,25.0,107.28,28.28,506.0,572.0,25.0,22.88,6.78,60.677568
65a60be7,2.0,1.0,0.0,50.0,1.0,67.0,93.0,3.0,31.0,8.33,1.0
9c3c5dee,10.0,9.0,1.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,16.2
85ba5659,72.0,100.0,7.0,138.89,14.29,0.0,0.0,0.0,0.0,0.0,39.69476199999999
e66d962d,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,12.0,12.0,0.0
8ba8195d,2117.0,3122.0,114.0,147.47,27.39,145.0,252.0,6.0,42.0,10.43,80.784066
9244df4b,318.0,349.0,11.0,109.75,31.73,176.0,218.0,5.0,43.6,7.43,69.64735
5680f1ad,686.0,678.0,25.0,98.83,27.12,347.0,325.0,23.0,14.13,5.62,53.605392
97188292,240.0,317.0,15.0,132.08,21.13,0.0,0.0,0.0,0.0,0.0,55.81700800000001
af28816c,23.0,36.0,2.0,156.52,18.0,77.0,112.0,6.0,18.67,8.73,56.3472
4f034a50,20.0,19.0,3.0,95.0,6.33,0.0,0.0,0.0,0.0,0.0,12.027000000000001
52980a48,135.0,139.0,6.0,102.96,23.17,0.0,0.0,0.0,0.0,0.0,47.711664
13bf1d91,95.0,91.0,7.0,95.79,13.0,56.0,75.0,2.0,37.5,8.04,24.9054
f752db61,99.0,107.0,16.0,108.08,6.69,994.0,1266.0,49.0,25.84,7.64,14.461104
57330536,27.0,25.0,3.0,92.59,8.33,18.0,11.0,1.0,11.0,3.67,15.425494
5f419ace,162.0,173.0,11.0,106.79,15.73,564.0,661.0,16.0,41.31,7.03,33.596134
e91933cb,0.0,0.0,0.0,0.0,0.0,52.0,45.0,1.0,45.0,5.19,0.0
be4807e3,77.0,101.0,5.0,131.17,20.2,64.0,122.0,1.0,122.0,11.44,52.99267999999999
1439a13c,23.0,23.0,2.0,100.0,11.5,0.0,0.0,0.0,0.0,0.0,23.0
67ae5a56,78.0,117.0,4.0,150.0,29.25,60.0,49.0,4.0,12.25,4.9,87.75
e5652e3d,42.0,51.0,2.0,121.43,25.5,841.0,1102.0,40.0,27.55,7.86,61.929300000000005
80fe764d,14.0,11.0,2.0,78.57,5.5,0.0,0.0,0.0,0.0,0.0,8.6427
d510d457,605.0,677.0,41.0,111.9,16.51,0.0,0.0,0.0,0.0,0.0,36.949380000000005
eca6dcb2,3.0,2.0,1.0,66.67,2.0,42.0,48.0,0.0,48.0,6.86,2.6668000000000003
4fde9ae6,14.0,1.0,2.0,7.14,0.5,0.0,0.0,0.0,0.0,0.0,0.07139999999999999
ca673cff,52.0,51.0,2.0,98.08,25.5,6.0,9.0,0.0,9.0,9.0,50.0208
e5d452d7,23.0,21.0,4.0,91.3,5.25,13.0,14.0,1.0,14.0,6.46,9.5865
3924b2ee,34.0,32.0,3.0,94.12,10.67,32.0,26.0,3.0,8.67,4.88,20.085208
cb5100f1,6.0,5.0,1.0,83.33,5.0,483.0,571.0,27.0,21.15,7.09,8.333
e59ec361,4.0,6.0,1.0,150.0,6.0,24.0,42.0,0.0,42.0,10.5,18.0
f3a5c378,117.0,116.0,8.0,99.15,14.5,0.0,0.0,0.0,0.0,0.0,28.753500000000003
b8a75ca8,0.0,0.0,0.0,0.0,0.0,41.0,62.0,0.0,62.0,9.07,0.0
16dfcc19,197.0,216.0,24.0,109.64,9.0,1585.0,1771.0,109.0,16.25,6.7,19.7352
94a1827c,121.0,118.0,12.0,97.52,9.83,89.0,92.0,7.0,13.14,6.2,19.172432
57e1d7e4,88.0,73.0,5.0,82.95,14.6,72.0,115.0,4.0,28.75,9.58,24.2214
ca322fd6,14.0,12.0,1.0,85.71,12.0,403.0,569.0,21.0,27.1,8.47,20.5704
50a92895,43.0,40.0,1.0,93.02,40.0,0.0,0.0,0.0,0.0,0.0,74.416
da9f58aa,0.0,0.0,0.0,0.0,0.0,37.0,42.0,2.0,21.0,6.81,0.0
ff077124,2764.0,3543.0,137.0,128.18,25.86,0.0,0.0,0.0,0.0,0.0,66.294696
a7d6c101,1.0,1.0,0.0,100.0,1.0,146.0,157.0,7.0,22.43,6.45,2.0
d1b5efdf,8.0,8.0,1.0,100.0,8.0,76.0,74.0,2.0,37.0,5.84,16.0
525c3f54,17.0,17.0,2.0,100.0,8.5,104.0,138.0,3.0,46.0,7.96,17.0
84212ffb,136.0,136.0,6.0,100.0,22.67,0.0,0.0,0.0,0.0,0.0,45.34
a9a4df9f,16.0,3.0,1.0,18.75,3.0,124.0,105.0,2.0,52.5,5.08,1.125
1a772306,21.0,15.0,3.0,71.43,5.0,24.0,29.0,0.0,29.0,7.25,7.143000000000001
5d1c2102,28.0,28.0,4.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0
8728a058,741.0,902.0,40.0,121.73,22.55,1283.0,1448.0,63.0,22.98,6.77,54.90023
ee40679e,28.0,17.0,3.0,60.71,5.67,0.0,0.0,0.0,0.0,0.0,6.884514
6f49cc6e,3.0,5.0,1.0,166.67,5.0,114.0,165.0,4.0,41.25,8.68,16.666999999999998
2e2fe3e8,469.0,423.0,24.0,90.19,17.62,50.0,68.0,2.0,34.0,8.16,31.782956
fc60e81a,69.0,75.0,6.0,108.7,12.5,95.0,99.0,4.0,24.75,6.25,27.175
0d24b1f7,0.0,0.0,0.0,0.0,0.0,62.0,66.0,1.0,66.0,6.39,0.0
e068d48e,16.0,11.0,3.0,68.75,3.67,99.0,84.0,3.0,28.0,5.09,5.04625
e174dadd,240.0,219.0,35.0,91.25,6.26,3967.0,4321.0,196.0,22.05,6.54,11.4245
ddc7e056,17.0,8.0,2.0,47.06,4.0,68.0,59.0,3.0,19.67,5.21,3.7648
d346d939,1456.0,2038.0,83.0,139.97,24.55,74.0,126.0,2.0,63.0,10.22,68.72527
9c181b99,35.0,43.0,2.0,122.86,21.5,183.0,158.0,7.0,22.57,5.18,52.8298
c5f1d2a1,126.0,144.0,9.0,114.29,16.0,0.0,0.0,0.0,0.0,0.0,36.5728
c1a89821,459.0,515.0,35.0,112.2,14.71,31.0,29.0,1.0,29.0,5.61,33.009240000000005
4c4a06fb,613.0,697.0,29.0,113.7,24.03,0.0,0.0,0.0,0.0,0.0,54.644220000000004
af8d9fd9,54.0,55.0,2.0,101.85,27.5,77.0,78.0,4.0,19.5,6.08,56.0175
df3947f4,18.0,17.0,1.0,94.44,17.0,52.0,45.0,3.0,15.0,5.19,32.1096
be4cefab,150.0,205.0,12.0,136.67,17.08,0.0,0.0,0.0,0.0,0.0,46.686471999999995
